sentence_id,volume,group_start,seg_idx,src_file,t_start,t_end,duration,media_file,source
1,1,1,0,GLOSSIKA-ENZS-F1-GMS-0001C.mp3,6.963,8.542,1.579,media/ZS_F1_0001.mp3,F1-GMS-0001C 00:06.96-00:08.54
2,1,1,1,GLOSSIKA-ENZS-F1-GMS-0001C.mp3,11.269,13.038,1.769,media/ZS_F1_0002.mp3,F1-GMS-0001C 00:11.27-00:13.04
3,1,1,2,GLOSSIKA-ENZS-F1-GMS-0001C.mp3,15.682,17.798,2.116,media/ZS_F1_0003.mp3,F1-GMS-0001C 00:15.68-00:17.80
4,1,1,3,GLOSSIKA-ENZS-F1-GMS-0001C.mp3,19.955,22.028,2.073,media/ZS_F1_0004.mp3,F1-GMS-0001C 00:19.95-00:22.03
5,1,1,4,GLOSSIKA-ENZS-F1-GMS-0001C.mp3,24.103,26.842,2.739,media/ZS_F1_0005.mp3,F1-GMS-0001C 00:24.10-00:26.84
6,1,1,5,GLOSSIKA-ENZS-F1-GMS-0001C.mp3,28.832,31.340,2.508,media/ZS_F1_0006.mp3,F1-GMS-0001C 00:28.83-00:31.34
7,1,1,6,GLOSSIKA-ENZS-F1-GMS-0001C.mp3,33.886,36.941,3.056,media/ZS_F1_0007.mp3,F1-GMS-0001C 00:33.89-00:36.94
8,1,1,7,GLOSSIKA-ENZS-F1-GMS-0001C.mp3,38.935,41.150,2.214,media/ZS_F1_0008.mp3,F1-GMS-0001C 00:38.94-00:41.15
9,1,1,8,GLOSSIKA-ENZS-F1-GMS-0001C.mp3,43.375,46.224,2.849,media/ZS_F1_0009.mp3,F1-GMS-0001C 00:43.37-00:46.22
10,1,1,9,GLOSSIKA-ENZS-F1-GMS-0001C.mp3,48.203,50.547,2.344,media/ZS_F1_0010.mp3,F1-GMS-0001C 00:48.20-00:50.55
11,1,1,10,GLOSSIKA-ENZS-F1-GMS-0001C.mp3,52.452,55.444,2.992,media/ZS_F1_0011.mp3,F1-GMS-0001C 00:52.45-00:55.44
12,1,1,11,GLOSSIKA-ENZS-F1-GMS-0001C.mp3,57.408,59.999,2.591,media/ZS_F1_0012.mp3,F1-GMS-0001C 00:57.41-00:60.00
13,1,1,12,GLOSSIKA-ENZS-F1-GMS-0001C.mp3,62.224,65.029,2.805,media/ZS_F1_0013.mp3,F1-GMS-0001C 01:02.22-01:05.03
14,1,1,13,GLOSSIKA-ENZS-F1-GMS-0001C.mp3,67.457,70.486,3.029,media/ZS_F1_0014.mp3,F1-GMS-0001C 01:07.46-01:10.49
15,1,1,14,GLOSSIKA-ENZS-F1-GMS-0001C.mp3,72.843,76.138,3.295,media/ZS_F1_0015.mp3,F1-GMS-0001C 01:12.84-01:16.14
16,1,1,15,GLOSSIKA-ENZS-F1-GMS-0001C.mp3,78.138,81.873,3.735,media/ZS_F1_0016.mp3,F1-GMS-0001C 01:18.14-01:21.87
17,1,1,16,GLOSSIKA-ENZS-F1-GMS-0001C.mp3,83.864,86.923,3.059,media/ZS_F1_0017.mp3,F1-GMS-0001C 01:23.86-01:26.92
18,1,1,17,GLOSSIKA-ENZS-F1-GMS-0001C.mp3,88.918,90.630,1.712,media/ZS_F1_0018.mp3,F1-GMS-0001C 01:28.92-01:30.63
19,1,1,18,GLOSSIKA-ENZS-F1-GMS-0001C.mp3,92.690,94.334,1.644,media/ZS_F1_0019.mp3,F1-GMS-0001C 01:32.69-01:34.33
20,1,1,19,GLOSSIKA-ENZS-F1-GMS-0001C.mp3,96.587,98.025,1.437,media/ZS_F1_0020.mp3,F1-GMS-0001C 01:36.59-01:38.02
21,1,1,20,GLOSSIKA-ENZS-F1-GMS-0001C.mp3,100.255,101.715,1.460,media/ZS_F1_0021.mp3,F1-GMS-0001C 01:40.25-01:41.71
22,1,1,21,GLOSSIKA-ENZS-F1-GMS-0001C.mp3,104.030,106.113,2.084,media/ZS_F1_0022.mp3,F1-GMS-0001C 01:44.03-01:46.11
23,1,1,22,GLOSSIKA-ENZS-F1-GMS-0001C.mp3,108.091,109.619,1.528,media/ZS_F1_0023.mp3,F1-GMS-0001C 01:48.09-01:49.62
24,1,1,23,GLOSSIKA-ENZS-F1-GMS-0001C.mp3,111.626,113.435,1.809,media/ZS_F1_0024.mp3,F1-GMS-0001C 01:51.63-01:53.43
25,1,1,24,GLOSSIKA-ENZS-F1-GMS-0001C.mp3,115.385,117.290,1.905,media/ZS_F1_0025.mp3,F1-GMS-0001C 01:55.38-01:57.29
26,1,1,25,GLOSSIKA-ENZS-F1-GMS-0001C.mp3,119.196,120.654,1.457,media/ZS_F1_0026.mp3,F1-GMS-0001C 01:59.20-02:00.65
27,1,1,26,GLOSSIKA-ENZS-F1-GMS-0001C.mp3,123.009,124.767,1.758,media/ZS_F1_0027.mp3,F1-GMS-0001C 02:03.01-02:04.77
28,1,1,27,GLOSSIKA-ENZS-F1-GMS-0001C.mp3,127.113,129.838,2.725,media/ZS_F1_0028.mp3,F1-GMS-0001C 02:07.11-02:09.84
29,1,1,28,GLOSSIKA-ENZS-F1-GMS-0001C.mp3,131.959,134.081,2.122,media/ZS_F1_0029.mp3,F1-GMS-0001C 02:11.96-02:14.08
30,1,1,29,GLOSSIKA-ENZS-F1-GMS-0001C.mp3,136.020,138.288,2.268,media/ZS_F1_0030.mp3,F1-GMS-0001C 02:16.02-02:18.29
31,1,1,30,GLOSSIKA-ENZS-F1-GMS-0001C.mp3,140.276,141.917,1.641,media/ZS_F1_0031.mp3,F1-GMS-0001C 02:20.28-02:21.92
32,1,1,31,GLOSSIKA-ENZS-F1-GMS-0001C.mp3,144.111,145.717,1.607,media/ZS_F1_0032.mp3,F1-GMS-0001C 02:24.11-02:25.72
33,1,1,32,GLOSSIKA-ENZS-F1-GMS-0001C.mp3,147.634,149.465,1.831,media/ZS_F1_0033.mp3,F1-GMS-0001C 02:27.63-02:29.47
34,1,1,33,GLOSSIKA-ENZS-F1-GMS-0001C.mp3,151.702,153.225,1.523,media/ZS_F1_0034.mp3,F1-GMS-0001C 02:31.70-02:33.22
35,1,1,34,GLOSSIKA-ENZS-F1-GMS-0001C.mp3,155.594,157.334,1.740,media/ZS_F1_0035.mp3,F1-GMS-0001C 02:35.59-02:37.33
36,1,1,35,GLOSSIKA-ENZS-F1-GMS-0001C.mp3,159.551,162.142,2.591,media/ZS_F1_0036.mp3,F1-GMS-0001C 02:39.55-02:42.14
37,1,1,36,GLOSSIKA-ENZS-F1-GMS-0001C.mp3,164.061,165.614,1.553,media/ZS_F1_0037.mp3,F1-GMS-0001C 02:44.06-02:45.61
38,1,1,37,GLOSSIKA-ENZS-F1-GMS-0001C.mp3,168.017,170.140,2.124,media/ZS_F1_0038.mp3,F1-GMS-0001C 02:48.02-02:50.14
39,1,1,38,GLOSSIKA-ENZS-F1-GMS-0001C.mp3,172.316,173.634,1.318,media/ZS_F1_0039.mp3,F1-GMS-0001C 02:52.32-02:53.63
